location,age_group,forecast_date,target_end_date,target,type,quantile,value,pathogen
DE,00-04,2024-02-28,2024-02-28,0 day ahead inc hosp,mean,NA,20.3,COVID-19
DE,05-14,2024-02-28,2024-02-28,0 day ahead inc hosp,mean,NA,8.5,COVID-19
DE,15-34,2024-02-28,2024-02-28,0 day ahead inc hosp,mean,NA,16.5,COVID-19
DE,35-59,2024-02-28,2024-02-28,0 day ahead inc hosp,mean,NA,95,COVID-19
DE,60-79,2024-02-28,2024-02-28,0 day ahead inc hosp,mean,NA,266.7,COVID-19
DE,80+,2024-02-28,2024-02-28,0 day ahead inc hosp,mean,NA,312.5,COVID-19
DE,00+,2024-02-28,2024-02-28,0 day ahead inc hosp,mean,NA,719.5,COVID-19
DE,00-04,2024-02-28,2024-02-27,-1 day ahead inc hosp,mean,NA,20.2,COVID-19
DE,05-14,2024-02-28,2024-02-27,-1 day ahead inc hosp,mean,NA,3.5,COVID-19
DE,15-34,2024-02-28,2024-02-27,-1 day ahead inc hosp,mean,NA,23.9,COVID-19
DE,35-59,2024-02-28,2024-02-27,-1 day ahead inc hosp,mean,NA,95.3,COVID-19
DE,60-79,2024-02-28,2024-02-27,-1 day ahead inc hosp,mean,NA,281.4,COVID-19
DE,80+,2024-02-28,2024-02-27,-1 day ahead inc hosp,mean,NA,309.6,COVID-19
DE,00+,2024-02-28,2024-02-27,-1 day ahead inc hosp,mean,NA,733.8,COVID-19
DE,00-04,2024-02-28,2024-02-26,-2 day ahead inc hosp,mean,NA,27.1,COVID-19
DE,05-14,2024-02-28,2024-02-26,-2 day ahead inc hosp,mean,NA,6.3,COVID-19
DE,15-34,2024-02-28,2024-02-26,-2 day ahead inc hosp,mean,NA,25.2,COVID-19
DE,35-59,2024-02-28,2024-02-26,-2 day ahead inc hosp,mean,NA,109.4,COVID-19
DE,60-79,2024-02-28,2024-02-26,-2 day ahead inc hosp,mean,NA,308.1,COVID-19
DE,80+,2024-02-28,2024-02-26,-2 day ahead inc hosp,mean,NA,358.3,COVID-19
DE,00+,2024-02-28,2024-02-26,-2 day ahead inc hosp,mean,NA,834.4,COVID-19
DE,00-04,2024-02-28,2024-02-25,-3 day ahead inc hosp,mean,NA,29.3,COVID-19
DE,05-14,2024-02-28,2024-02-25,-3 day ahead inc hosp,mean,NA,8.4,COVID-19
DE,15-34,2024-02-28,2024-02-25,-3 day ahead inc hosp,mean,NA,25.2,COVID-19
DE,35-59,2024-02-28,2024-02-25,-3 day ahead inc hosp,mean,NA,108,COVID-19
DE,60-79,2024-02-28,2024-02-25,-3 day ahead inc hosp,mean,NA,304.4,COVID-19
DE,80+,2024-02-28,2024-02-25,-3 day ahead inc hosp,mean,NA,359,COVID-19
DE,00+,2024-02-28,2024-02-25,-3 day ahead inc hosp,mean,NA,834.4,COVID-19
DE,00-04,2024-02-28,2024-02-24,-4 day ahead inc hosp,mean,NA,29.3,COVID-19
DE,05-14,2024-02-28,2024-02-24,-4 day ahead inc hosp,mean,NA,8.4,COVID-19
DE,15-34,2024-02-28,2024-02-24,-4 day ahead inc hosp,mean,NA,23.5,COVID-19
DE,35-59,2024-02-28,2024-02-24,-4 day ahead inc hosp,mean,NA,110.4,COVID-19
DE,60-79,2024-02-28,2024-02-24,-4 day ahead inc hosp,mean,NA,312.6,COVID-19
DE,80+,2024-02-28,2024-02-24,-4 day ahead inc hosp,mean,NA,360.2,COVID-19
DE,00+,2024-02-28,2024-02-24,-4 day ahead inc hosp,mean,NA,844.3,COVID-19
DE,00-04,2024-02-28,2024-02-23,-5 day ahead inc hosp,mean,NA,27.6,COVID-19
DE,05-14,2024-02-28,2024-02-23,-5 day ahead inc hosp,mean,NA,12.7,COVID-19
DE,15-34,2024-02-28,2024-02-23,-5 day ahead inc hosp,mean,NA,30.6,COVID-19
DE,35-59,2024-02-28,2024-02-23,-5 day ahead inc hosp,mean,NA,119.2,COVID-19
DE,60-79,2024-02-28,2024-02-23,-5 day ahead inc hosp,mean,NA,326.1,COVID-19
DE,80+,2024-02-28,2024-02-23,-5 day ahead inc hosp,mean,NA,386.9,COVID-19
DE,00+,2024-02-28,2024-02-23,-5 day ahead inc hosp,mean,NA,903.1,COVID-19
DE,00-04,2024-02-28,2024-02-22,-6 day ahead inc hosp,mean,NA,37,COVID-19
DE,05-14,2024-02-28,2024-02-22,-6 day ahead inc hosp,mean,NA,13.8,COVID-19
DE,15-34,2024-02-28,2024-02-22,-6 day ahead inc hosp,mean,NA,44.2,COVID-19
DE,35-59,2024-02-28,2024-02-22,-6 day ahead inc hosp,mean,NA,107.8,COVID-19
DE,60-79,2024-02-28,2024-02-22,-6 day ahead inc hosp,mean,NA,334.4,COVID-19
DE,80+,2024-02-28,2024-02-22,-6 day ahead inc hosp,mean,NA,401.1,COVID-19
DE,00+,2024-02-28,2024-02-22,-6 day ahead inc hosp,mean,NA,938.2,COVID-19
DE,00-04,2024-02-28,2024-02-21,-7 day ahead inc hosp,mean,NA,44.3,COVID-19
DE,05-14,2024-02-28,2024-02-21,-7 day ahead inc hosp,mean,NA,14.8,COVID-19
DE,15-34,2024-02-28,2024-02-21,-7 day ahead inc hosp,mean,NA,47.2,COVID-19
DE,35-59,2024-02-28,2024-02-21,-7 day ahead inc hosp,mean,NA,120.8,COVID-19
DE,60-79,2024-02-28,2024-02-21,-7 day ahead inc hosp,mean,NA,353,COVID-19
DE,80+,2024-02-28,2024-02-21,-7 day ahead inc hosp,mean,NA,431.1,COVID-19
DE,00+,2024-02-28,2024-02-21,-7 day ahead inc hosp,mean,NA,1011.2,COVID-19
DE,00-04,2024-02-28,2024-02-20,-8 day ahead inc hosp,mean,NA,50.3,COVID-19
DE,05-14,2024-02-28,2024-02-20,-8 day ahead inc hosp,mean,NA,17.9,COVID-19
DE,15-34,2024-02-28,2024-02-20,-8 day ahead inc hosp,mean,NA,54.2,COVID-19
DE,35-59,2024-02-28,2024-02-20,-8 day ahead inc hosp,mean,NA,133.7,COVID-19
DE,60-79,2024-02-28,2024-02-20,-8 day ahead inc hosp,mean,NA,374.6,COVID-19
DE,80+,2024-02-28,2024-02-20,-8 day ahead inc hosp,mean,NA,477.4,COVID-19
DE,00+,2024-02-28,2024-02-20,-8 day ahead inc hosp,mean,NA,1108,COVID-19
DE,00-04,2024-02-28,2024-02-19,-9 day ahead inc hosp,mean,NA,51,COVID-19
DE,05-14,2024-02-28,2024-02-19,-9 day ahead inc hosp,mean,NA,16.8,COVID-19
DE,15-34,2024-02-28,2024-02-19,-9 day ahead inc hosp,mean,NA,55.1,COVID-19
DE,35-59,2024-02-28,2024-02-19,-9 day ahead inc hosp,mean,NA,135.2,COVID-19
DE,60-79,2024-02-28,2024-02-19,-9 day ahead inc hosp,mean,NA,387,COVID-19
DE,80+,2024-02-28,2024-02-19,-9 day ahead inc hosp,mean,NA,467.9,COVID-19
DE,00+,2024-02-28,2024-02-19,-9 day ahead inc hosp,mean,NA,1113,COVID-19
DE,00-04,2024-02-28,2024-02-18,-10 day ahead inc hosp,mean,NA,49.9,COVID-19
DE,05-14,2024-02-28,2024-02-18,-10 day ahead inc hosp,mean,NA,14.7,COVID-19
DE,15-34,2024-02-28,2024-02-18,-10 day ahead inc hosp,mean,NA,56.1,COVID-19
DE,35-59,2024-02-28,2024-02-18,-10 day ahead inc hosp,mean,NA,134,COVID-19
DE,60-79,2024-02-28,2024-02-18,-10 day ahead inc hosp,mean,NA,387.9,COVID-19
